benchmark,board,environment,category,type,size,total_size,section_total_size
crc_32,nrf52840dk,native,Kernel,.text,12970,1455984,13256
crc_32,nrf52840dk,native,Application,.text,1108,1455984,13256
crc_32,nrf52840dk,native,fill,.text,19,1455984,13256
crc_32,nrf52840dk,native,Kernel,.bss,1716,1455984,1212
crc_32,nrf52840dk,native,Kernel,.data,138,1455984,
crc_32,nrf52840dk,native,fill,.data,2,1455984,
crc_32,nrf52840dk,native,Application,.bss,4,1455984,1212
crc_32,nrf52840dk,native,fill,.bss,4,1455984,1212
crc_32,nrf52840dk,jerryscript,Kernel,.text,50953,5634964,296556
crc_32,nrf52840dk,jerryscript,Runtime,.text,263483,5634964,296556
crc_32,nrf52840dk,jerryscript,fill,.text,450,5634964,296556
crc_32,nrf52840dk,jerryscript,Application,.text,4124,5634964,296556
crc_32,nrf52840dk,jerryscript,Unknown Symbols (unspecified),.text,48,5634964,296556
crc_32,nrf52840dk,jerryscript,Kernel,.bss,3168,5634964,16144
crc_32,nrf52840dk,jerryscript,Kernel,.data,138,5634964,
crc_32,nrf52840dk,jerryscript,fill,.data,2,5634964,
crc_32,nrf52840dk,jerryscript,fill,.bss,7,5634964,16144
crc_32,nrf52840dk,jerryscript,Heap,.bss,11264,5634964,16144
crc_32,nrf52840dk,jerryscript,Runtime,.bss,2217,5634964,16144
crc_32,nrf52840dk,lua,Kernel,.text,74262,3078592,156200
crc_32,nrf52840dk,lua,Runtime,.text,90569,3078592,156200
crc_32,nrf52840dk,lua,fill,.text,183,3078592,156200
crc_32,nrf52840dk,lua,Application,.text,4226,3078592,156200
crc_32,nrf52840dk,lua,Kernel,.bss,3348,3078592,37484
crc_32,nrf52840dk,lua,Kernel,.data,602,3078592,
crc_32,nrf52840dk,lua,fill,.data,6,3078592,
crc_32,nrf52840dk,lua,Heap,.bss,34637,3078592,37484
crc_32,nrf52840dk,lua,fill,.bss,11,3078592,37484
crc_32,nrf52840dk,micropython,Kernel,.text,31327,3200412,127784
crc_32,nrf52840dk,micropython,Runtime,.text,102805,3200412,127784
crc_32,nrf52840dk,micropython,fill,.text,181,3200412,127784
crc_32,nrf52840dk,micropython,Application,.text,4085,3200412,127784
crc_32,nrf52840dk,micropython,Kernel,.bss,2906,3200412,17840
crc_32,nrf52840dk,micropython,Kernel,.data,157,3200412,
crc_32,nrf52840dk,micropython,fill,.data,3,3200412,
crc_32,nrf52840dk,micropython,Heap,.bss,14996,3200412,17840
crc_32,nrf52840dk,micropython,fill,.bss,2,3200412,17840
crc_32,nrf52840dk,micropython,Runtime,.bss,448,3200412,17840
crc_32,nrf52840dk,micro-bpf,Kernel,.text,25244,1678692,87392
crc_32,nrf52840dk,micro-bpf,fill,.text,85,1678692,87392
crc_32,nrf52840dk,micro-bpf,Runtime,.text,65345,1678692,87392
crc_32,nrf52840dk,micro-bpf,Unknown Symbols (unspecified),.text,20,1678692,87392
crc_32,nrf52840dk,micro-bpf,Application,.text,1304,1678692,87392
crc_32,nrf52840dk,micro-bpf,Kernel,.bss,5177,1678692,4668
